"id","country_slug","country","ul_safety_index","institutions_resources","safety_frameworks","safety_outcomes","transport_injuries","transport_injuries_rating","falls","falls_rating","drowning","drowning_rating","fires_heat_hot_substances","fires_heat_hot_substances_rating","poisonings","poisonings_rating","exposure_to_mechanical_forces","exposure_to_mechanical_forces_rating","foreign_body","foreign_body_rating","other_unintentional_injuries","other_unintentional_injuries_rating","exposure_to_forces_of_nature_disaster","exposure_to_forces_of_nature_disaster_rating","unintentional_injuries","gdp_per_capita","gdp_per_capita_rating","government_effectiveness","government_effectiveness_rating","education","education_rating","network_readiness","network_readiness_rating","ul_standards_index","ul_standards_index_rating","consumer_protection_survey","consumer_protection_survey_rating","ul_labor_rights_index","ul_labor_rights_index_rating","road_safety","road_safety_rating","iso_membership","iec_membership","ul_safety_index_rank","institutions_resources_rank","safety_frameworks_rank","safety_outcomes_rank","transport_injuries_rating_rank","falls_rating_rank","drowning_rating_rank","fires_heat_hot_substances_rating_rank","poisonings_rating_rank","exposure_to_mechanical_forces_rating_rank","foreign_body_rating_rank","other_unintentional_injuries_rating_rank","exposure_to_forces_of_nature_disaster_rating_rank","gdp_per_capita_rating_rank","government_effectiveness_rating_rank","education_rating_rank","network_readiness_rating_rank","ul_standards_index_rating_rank","consumer_protection_survey_rating_rank","ul_labor_rights_index_rating_rank","road_safety_rating_rank"
175,"Ukraine","Ukraine",65.1083062983246,47.1231722049588,75,78.09323469732,968.89603883,0.751837571685348,555.548025295,0.61139712189576,371.36762403,0.768452271374578,230.602733791,0.689645959799693,125.468184705999,0.778957737427915,173.477979842999,0.768789683343136,187.833770178,0.710057337928306,161.671568639999,0.949253439304069,0,1,2774.865925313,2973.996481,0.425800934786683,-0.75,0.331111111111111,0.784,0.816326530612245,3.53,0.311688311688312,8,1,NULL,NULL,50,0.5,NULL,NULL,"Member body","Full member",77,95,61,137,122,172,127,138,139,97,126,132,1,111,134,32,80,1,NULL,117,NULL
176,"United-Arab-Emirates","United Arab Emirates",71.3152149773448,73.1840223704316,60,82.5998124219648,1937.397941947,0.412287698986487,441.737612708999,0.702123948623608,78.761664918,0.960444753172951,114.788941572999,0.860585490499874,38.8684013159999,0.940736223121507,229.588709772,0.675574245197633,61.243103119,0.928560992590255,148.999283556,0.953669765784516,0,1,3051.38565891,34341.91129,0.821795032108545,0.91,0.7,0.673,0.66530612244898,4.85,0.74025974025974,8,1,NULL,NULL,20,0.2,NULL,NULL,"Member body","Full member",54,32,104,111,176,150,40,93,75,123,49,114,1,24,35,75,22,1,NULL,162,NULL
177,"United-Kingdom","United Kingdom",90.205472010303,86.8059891014803,90.375,93.5622483905545,348.926032893,0.969194642348315,474.202167242999,0.676244014203923,25.335949613,0.995499868606653,41.630663327,0.968566081677343,22.647160222,0.971039391530598,93.489850406,0.901672084647551,36.517961416,0.971238181593628,110.319023952,0.967149943481546,0.2546861424,0.999998147060347,1153.3234952144,38292.87113,0.839421588384093,1.56,0.844444444444445,0.878,0.94421768707483,5.17,0.844155844155844,8,1,NULL,NULL,80.75,0.8075,NULL,NULL,"Member body","Full member",16,13,29,14,6,162,6,28,41,35,17,62,54,21,16,8,12,1,NULL,54,NULL
178,"Tanzania","Tanzania",51.8347195403664,25.0828785269079,74.625,74.4047291543305,706.665497273,0.843773732798576,367.2757186,0.761483116305647,306.404312141,0.811077744598918,306.216627359,0.578040914896256,194.099987857,0.650745532390553,225.627003238,0.682155735241302,360.971246846,0.411210888266468,136.744929478,0.957940442150832,0.3412546448,0.999997517241192,2604.3465774368,708.5219323,0.193609925656813,-0.58,0.368888888888889,0.403,0.297959183673469,3.01,0.142857142857143,6,0.75,NULL,NULL,74.25,0.7425,NULL,NULL,"Member body","Affiliate country",126,158,62,147,63,117,109,160,164,120,174,99,57,158,119,154,116,76,NULL,71,NULL
179,"United-States-of-America","United States of America",91.1967785710257,90.3561428797855,92.375,90.8712198282802,760.082807392,0.825046004135939,407.019350677999,0.729800482536516,64.769160235,0.969625891208613,70.959585719,0.925277004153714,52.526593208,0.915221129259789,108.515203464999,0.876710818407427,47.562454711,0.95217467395193,60.182623565,0.984622617998867,9.461645095,0.999931162892419,1581.079424068,48374.05646,0.877249219623495,1.55,0.842222222222222,0.887,0.956462585034014,5.46,0.938311688311688,8,1,NULL,NULL,84.75,0.8475,NULL,NULL,"Member body","Full member",15,7,26,47,81,142,30,64,95,56,34,20,113,9,17,4,5,1,NULL,43,NULL
180,"Uruguay","Uruguay",73.7844269007036,60.1232171753801,79,84.5716536067454,859.889760613,0.790054396838542,348.376645707,0.776548986578145,157.265481539,0.908934720262305,108.816055580999,0.869401386334424,28.521308559,0.960065798000696,249.262643046999,0.642890401793796,188.730668742,0.708509233169495,145.037600305,0.955050423379619,0.8964130757,0.99999347825006,2086.7965771687,11938.27505,0.650766658567462,0.64,0.64,0.707,0.71156462585034,3.81,0.402597402597403,6,0.75,NULL,NULL,83,0.83,NULL,NULL,"Member body","Affiliate country",46,55,51,97,104,112,67,92,63,133,128,111,82,52,47,56,55,76,NULL,49,NULL
181,"Uzbekistan","Uzbekistan",50.945865175206,42.3294260607757,38.125,81.9359688681945,758.702587336,0.825529899462116,378.991453908,0.752143623871464,437.705079094,0.724925158418377,232.370919548,0.687036142456666,85.333775496,0.853933490161153,165.265914983999,0.78243219387329,129.399006255,0.810919508680063,195.921678096,0.937317181214377,0,1,2383.690414717,1377.08214,0.301175298830074,-0.74,0.333333333333333,0.651,0.635374149659864,NULL,NULL,5,0.625,NULL,NULL,13.75,0.1375,NULL,NULL,"Member body",NULL,129,115,153,114,80,129,144,139,122,95,99,154,1,135,132,85,NULL,103,NULL,171,NULL
182,"Vanuatu","Vanuatu",54.7855836047041,47.3817126488221,44.625,77.769605033962,1136.802695692,0.692970693076957,162.267882843,0.924910257724026,839.745160192,0.461127820911389,137.913704384,0.826453665379903,121.772475541,0.785861752759973,233.916169964,0.668385137189861,190.863083117,0.7048285484475,202.560750768,0.9350034459841,38.0555022279999,0.999723131582869,3063.897424729,2965.75223,0.425351606222031,-0.28,0.435555555555556,0.596,0.560544217687075,NULL,NULL,0,NULL,NULL,NULL,89.25,0.8925,NULL,NULL,NULL,NULL,119,94,143,138,139,31,177,103,137,126,129,158,158,112,98,108,NULL,NULL,NULL,30,NULL
183,"Venezuela","Venezuela",34.0089080693337,44.040350031618,10.375,86.0873218134802,1328.769046813,0.625668656936584,157.834857237,0.928444155342856,147.855677642,0.91510893355893,42.382854735,0.967455857723721,25.7695239269999,0.96520645232214,263.323867694,0.619530819446693,158.480741084,0.760722559002212,113.61486977,0.966001332077602,38.458887138,0.999720196802483,2276.49032604,13581.35338,0.671638738432314,-1.1,0.253333333333333,0.682,0.677551020408163,3.06,0.159090909090909,1,0.125,NULL,NULL,8.25,0.0825,NULL,NULL,NULL,"Affiliate country",176,104,184,88,157,28,62,29,56,141,111,66,159,45,157,68,109,162,NULL,180,NULL
184,"Vietnam","Vietnam",56.9209891232169,40.005867777972,54,85.3689342565916,1344.71645578699,0.620077608876103,383.844715543,0.748274724555324,494.666676968,0.687549984733537,32.036850462,0.982726414720246,51.0548823509999,0.917970456619559,96.20799683,0.897156491815709,82.269485574,0.892268100566895,195.789942518,0.937363091428493,25.12447536,0.99981720977738,2705.71148139299,1333.583526,0.295979918292659,-0.26,0.44,0.509,0.442176870748299,3.87,0.422077922077922,7,0.875,NULL,NULL,20.5,0.205,NULL,NULL,"Member body","Associate member",110,120,119,92,158,133,155,11,94,39,61,153,143,137,96,126,52,60,NULL,159,NULL
185,"Yemen","Yemen",39.0187240446976,25.3375992722188,32.375,72.4175703321849,2136.35545224,0.342534612208805,344.272679649,0.779820566119778,459.831207991,0.71040716838011,191.082479431999,0.747977300168577,169.318797998,0.697039682469656,334.390602075,0.501469322273562,131.217960734,0.80777987595232,215.218309313,0.930592251743317,5.422313916,0.999960550580515,3987.109803348,1310.053839,0.293098499708514,-1.02,0.271111111111111,0.328,0.195918367346939,NULL,NULL,4,0.5,NULL,NULL,14.75,0.1475,NULL,NULL,"Correspondent member","Affiliate country",165,156,163,155,180,111,149,122,156,161,101,165,105,139,155,170,NULL,112,NULL,169,NULL
186,"Zambia","Zambia",50.8721080797832,34.5565650664519,56,68.0331547514146,1206.069346517,0.668686298390472,368.879782036,0.760204396879966,483.957724646,0.694576630192163,359.741016291,0.49903966858677,212.796078995,0.615819055737907,326.609634794,0.514395660519598,351.501489058,0.427556300874785,180.45756733,0.942706466684185,0.07563016311,0.999999449761471,3490.08826983011,1456.126526,0.310209417747749,-0.83,0.313333333333333,0.577,0.53469387755102,3.26,0.224025974025974,4,0.5,NULL,NULL,62,0.62,NULL,NULL,"Correspondent member","Affiliate country",130,132,114,171,146,118,154,176,168,160,172,147,41,131,141,116,95,112,NULL,89,NULL
187,"Zimbabwe","Zimbabwe",36.5286839435116,20.310828283294,29.375,81.695205098035,1542.866136879,0.550607741265545,138.167513069,0.94412247234376,141.946168151,0.918986439665885,214.40195851,0.713558076573319,100.889755413,0.824873107144735,303.077697754,0.553488714991917,88.915094966,0.880797350207937,113.221118227,0.966138555581851,0.549655033,0.999996001048205,2644.035098002,674.2686956,0.185589181630668,-1.5,0.164444444444445,0.5,0.429931972789116,2.67,0.0324675324675325,4,0.5,NULL,NULL,8.75,0.0875,NULL,NULL,"Correspondent member","Affiliate country",170,170,165,118,168,21,61,133,127,156,65,65,72,159,177,129,130,112,NULL,178,NULL
