"id","country_slug","country","ul_safety_index","institutions_resources","safety_frameworks","safety_outcomes","transport_injuries","transport_injuries_rating","falls","falls_rating","drowning","drowning_rating","fires_heat_hot_substances","fires_heat_hot_substances_rating","poisonings","poisonings_rating","exposure_to_mechanical_forces","exposure_to_mechanical_forces_rating","foreign_body","foreign_body_rating","other_unintentional_injuries","other_unintentional_injuries_rating","exposure_to_forces_of_nature_disaster","exposure_to_forces_of_nature_disaster_rating","unintentional_injuries","gdp_per_capita","gdp_per_capita_rating","government_effectiveness","government_effectiveness_rating","education","education_rating","network_readiness","network_readiness_rating","ul_standards_index","ul_standards_index_rating","consumer_protection_survey","consumer_protection_survey_rating","ul_labor_rights_index","ul_labor_rights_index_rating","road_safety","road_safety_rating","iso_membership","iec_membership","ul_safety_index_rank","institutions_resources_rank","safety_frameworks_rank","safety_outcomes_rank","transport_injuries_rating_rank","falls_rating_rank","drowning_rating_rank","fires_heat_hot_substances_rating_rank","poisonings_rating_rank","exposure_to_mechanical_forces_rating_rank","foreign_body_rating_rank","other_unintentional_injuries_rating_rank","exposure_to_forces_of_nature_disaster_rating_rank","gdp_per_capita_rating_rank","government_effectiveness_rating_rank","education_rating_rank","network_readiness_rating_rank","ul_standards_index_rating_rank","consumer_protection_survey_rating_rank","ul_labor_rights_index_rating_rank","road_safety_rating_rank"
155,"Sri-Lanka","Sri Lanka",66.8875220006179,49.3773783883364,68.5,88.4742156035963,742.461206391,0.831224012002917,330.65432217,0.790676781568268,277.263810858,0.830198193065349,120.988732669999,0.851434685917243,17.410480359,0.980822119675344,140.776077751,0.823116585444646,79.7282962589999,0.896654357195566,133.142701816,0.959195828476726,88.402064284,0.999356840977612,1930.827692558,2746.612135,0.412926510507689,-0.18,0.457777777777778,0.738,0.753741496598639,3.65,0.350649350649351,7,0.875,NULL,NULL,49.5,0.495,NULL,NULL,"Member body","Associate member",69,91,75,73,73,105,105,97,24,79,58,95,177,119,90,49,70,60,NULL,119,NULL
156,"State-of-Palestine","State of Palestine",64.8783090271849,63.6734693877551,46.125,92.9830254173932,799.7430861,0.811141392752976,231.569772586,0.869664517024559,88.260066696,0.954212406654751,46.359331463,0.961586633923113,20.873254107,0.974353254843107,77.553291339,0.928147116033559,77.316054376,0.900818042241308,106.303673238,0.968549304336275,0.0522644881999999,0.999999619755744,1448.0307943932,NULL,NULL,NULL,NULL,0.652,0.636734693877551,NULL,NULL,4,0.5,NULL,NULL,42.25,0.4225,NULL,NULL,"Correspondent member","Affiliate country",81,47,138,22,90,59,43,36,36,16,56,58,36,NULL,NULL,84,NULL,112,NULL,134,NULL
157,"Sudan","Sudan",38.6655124979845,22.1879093757049,39.25,66.3766405989485,2389.886043966,0.253648591573459,361.633510329,0.76598094423311,580.917205662,0.630956971007373,297.318561934,0.591174334489545,205.989275127999,0.628534958467796,375.045719557,0.433929930186937,163.151242305,0.752660972713106,254.17576544,0.917015470289609,0.621143181,0.999995480944429,4628.738467502,1421.532942,0.30631755337999,-1.37,0.193333333333333,0.306,0.165986394557823,NULL,NULL,6,0.75,NULL,NULL,3.5,0.035,NULL,NULL,"Member body","Affiliate country",166,166,151,176,182,114,166,155,167,172,114,177,76,132,171,173,NULL,76,NULL,183,NULL
158,"Suriname","Suriname",63.3739204615711,43.3884242872132,69.25,84.7106603458234,1176.164019853,0.679170893029986,173.210038338,0.916187443852546,347.709772177,0.783975296623483,131.332292221,0.836167737296052,43.452653335,0.932172306208092,174.201850314,0.767587134326214,182.862125803,0.718638716720715,44.574419735,0.990062120300917,0.304758305,0.999997782766103,2273.811930081,8430.905965,0.594462966128807,-0.09,0.477777777777778,0.588,0.549659863945578,2.92,0.113636363636364,4,0.5,NULL,NULL,88.5,0.885,NULL,NULL,"Correspondent member","Affiliate country",91,110,73,96,142,38,120,98,83,98,122,7,56,65,85,113,124,112,NULL,38,NULL
159,"Swaziland","Swaziland",55.0196432277693,43.365213266514,60.375,63.6142892694439,3113.370761275,0,92.5021420699999,0.98052576891347,453.429901972,0.714607365235527,365.705252624999,0.490236539525944,219.332869164999,0.603607570055122,476.512638851999,0.265365319615559,188.36450763,0.709141250861051,125.637184828999,0.96181152195264,1.278545369,0.999990698090636,5036.133803787,2956.696795,0.424856624752791,-0.52,0.382222222222222,0.547,0.493877551020408,NULL,NULL,4,0.5,NULL,NULL,70.75,0.7075,NULL,NULL,"Correspondent member","Affiliate country",115,111,102,178,187,8,148,177,171,180,127,80,87,114,112,121,NULL,112,NULL,74,NULL
160,"Sweden","Sweden",95.2984984818867,92.91560371267,100,93.1471391557707,341.304973699,0.971866531449229,455.394247547,0.691237219417732,38.020437933,0.987176981402681,59.0292154809999,0.942886063062037,25.519618066,0.965673305588694,104.588631075,0.88323394092262,31.9437589499999,0.979133550021689,124.984642025,0.962038934928739,0.5501804026,0.999995997225939,1181.3357051786,52076.43052,0.889186506783444,2.01,0.944444444444444,0.833,0.882993197278911,5.65,1,8,1,NULL,NULL,100,1,NULL,NULL,"Member body","Full member",2,3,1,18,4,156,14,48,55,48,12,78,73,6,4,19,1,1,NULL,1,NULL
161,"Switzerland","Switzerland",92.248386344878,92.5780861940563,92.5,91.6698250706748,361.335114575999,0.964844106647547,728.861382231,0.473236029715621,29.543356504,0.992739191779051,28.438246227,0.988037904028433,13.670398039,0.987809029231158,93.8921177289999,0.901003807389128,35.254770773,0.973418530101482,103.340600617,0.969581943358588,53.094909526,0.99961371410972,1447.430896222,74277.12051,0.94666292415887,1.89,0.917777777777778,0.841,0.893877551020408,5.48,0.944805194805195,8,1,NULL,NULL,85,0.85,NULL,NULL,"Member body","Full member",12,4,25,38,8,184,8,4,12,36,14,55,170,3,5,18,4,1,NULL,42,NULL
162,"Syria","Syria",49.8531329131197,34.7166907166907,38,93.9194304812984,693.967426196,0.848225586123634,161.199795548,0.925761710317351,63.421315281,0.970510275445295,53.834560094,0.950553301453916,45.453084749,0.928435267243071,94.888999593,0.899347710955351,39.812683826,0.965551278250698,118.309864773999,0.964365113303775,0.2061439091,0.999998500223766,1271.0938739701,NULL,NULL,-0.6,0.364444444444444,0.548,0.495238095238095,3.13,0.181818181818182,5,0.625,NULL,NULL,13.5,0.135,NULL,NULL,"Member body",NULL,133,131,154,11,62,29,29,43,87,37,21,71,50,NULL,121,119,103,103,NULL,172,NULL
163,"Taiwan","Taiwan",64.49208578682,80.8059163059163,35.375,93.8381983942505,801.877956837,0.810392922270219,274.625024758,0.835341942184748,103.144522290999,0.944446017827353,32.953979098,0.981372745734652,21.025603928,0.97406864762618,56.9877563979999,0.962312156350227,46.46340094,0.954071711634191,63.25795548,0.983550856301402,16.376377607,0.999880855553575,1416.712577337,NULL,NULL,1.19,0.762222222222222,NULL,NULL,5.2,0.853896103896104,0,NULL,NULL,NULL,70.75,0.7075,NULL,NULL,NULL,NULL,84,22,156,13,91,76,52,12,37,5,31,25,129,NULL,28,NULL,10,NULL,NULL,74,NULL
164,"Tajikistan","Tajikistan",54.0914852871684,32.1804120893952,60.375,81.4587938908741,415.428448468,0.945879368862548,375.918508507,0.754593299420526,524.090696126,0.668243506903176,259.580556303,0.64687510076772,103.855133056999,0.819333436189725,148.318905849,0.810585862231796,180.996977724,0.721858082580895,118.181633296999,0.964409802328978,66.939293174,0.999512990893303,2193.310152505,744.1898922,0.201559917919243,-0.9,0.297777777777778,0.639,0.619047619047619,3.09,0.168831168831169,3,0.375,NULL,NULL,83.25,0.8325,NULL,NULL,"Correspondent member",NULL,121,139,102,120,15,125,160,145,128,85,121,69,171,155,147,90,107,148,NULL,47,NULL
