"id","country_slug","country","ul_safety_index","institutions_resources","safety_frameworks","safety_outcomes","transport_injuries","transport_injuries_rating","falls","falls_rating","drowning","drowning_rating","fires_heat_hot_substances","fires_heat_hot_substances_rating","poisonings","poisonings_rating","exposure_to_mechanical_forces","exposure_to_mechanical_forces_rating","foreign_body","foreign_body_rating","other_unintentional_injuries","other_unintentional_injuries_rating","exposure_to_forces_of_nature_disaster","exposure_to_forces_of_nature_disaster_rating","unintentional_injuries","gdp_per_capita","gdp_per_capita_rating","government_effectiveness","government_effectiveness_rating","education","education_rating","network_readiness","network_readiness_rating","ul_standards_index","ul_standards_index_rating","consumer_protection_survey","consumer_protection_survey_rating","ul_labor_rights_index","ul_labor_rights_index_rating","iso_membership","iec_membership","ul_safety_index_rank","institutions_resources_rank","safety_frameworks_rank","safety_outcomes_rank","transport_injuries_rating_rank","falls_rating_rank","drowning_rating_rank","fires_heat_hot_substances_rating_rank","poisonings_rating_rank","exposure_to_mechanical_forces_rating_rank","foreign_body_rating_rank","other_unintentional_injuries_rating_rank","exposure_to_forces_of_nature_disaster_rating_rank","gdp_per_capita_rating_rank","government_effectiveness_rating_rank","education_rating_rank","network_readiness_rating_rank","ul_standards_index_rating_rank","consumer_protection_survey_rating_rank","ul_labor_rights_index_rating_rank"
149,"Slovenia","Slovenia",88.0065335398725,76.2425923308797,100,89.4019704248608,1070.586312562,0.742384862441602,667.356420308,0.569305522748116,72.872813325,0.980761085428791,42.686457164,0.980169567937728,32.227564952,0.982685892110259,133.864511736,0.870144905952306,64.224551897,0.940094476203799,83.179015201,0.981238112651872,1.43527959199999,0.999392912762998,2168.432926737,10227.73488,0.737977594791028,0.73,0.679287305122494,0.794,0.87001287001287,NULL,NULL,8,1,NULL,NULL,NULL,NULL,"Member body","Full member",24,27,1,59,107,170,23,8,41,54,37,23,96,37,37,16,NULL,1,NULL,NULL
150,"Solomon-Islands","Solomon Islands",NULL,31.2556895700356,NULL,83.7874482551491,1108.330488205,0.728984463795558,137.776089832,0.952033878472193,966.438930481999,0.658695496222103,152.875843923999,0.866654298475359,145.431782585,0.90239468434798,250.158482231,0.715511767959861,181.240448728,0.774537443465732,191.999587696,0.949169754154981,16.812921967,0.992888556069656,3151.06457565,1055.210356,0.358070087455926,-0.96,0.302895322939866,0.333,0.276705276705277,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,138,NULL,105,115,23,175,95,131,111,108,125,145,110,154,130,NULL,NULL,NULL,NULL
151,"Somalia","Somalia",NULL,0.890868596881961,NULL,61.2391156883557,1107.143610716,0.729405843550862,414.533773437,0.752020760377456,964.055676013,0.659554486105503,573.077425361,0.433769633736932,671.725254505999,0.529115849146506,462.201796472,0.433563160204538,697.662355377999,0.0438907465525023,246.963044629,0.932972560915285,6.55506664799999,0.997227371362431,5143.91800316,NULL,NULL,-2.28,0.00890868596881961,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,185,NULL,184,114,125,173,182,186,176,186,158,118,NULL,182,NULL,NULL,NULL,NULL,NULL
152,"South-Africa","South Africa",78.6997609908714,63.325698754061,100,76.9733254521538,2874.627709389,0.101892031968783,103.511230554,0.976797134386171,280.082272366,0.906077147403516,349.074671976,0.66453353630946,107.387814205,0.929377744106433,343.022192828,0.592033251282561,167.003704701,0.79467994684171,84.640725981,0.980807360779895,43.971551349,0.981401137615318,4353.321873349,3099.131614,0.538272652348463,0.69,0.670378619153675,0.655,0.691119691119691,NULL,NULL,8,1,NULL,NULL,NULL,NULL,"Member body","Full member",38,53,1,144,186,11,84,151,111,147,103,24,169,72,40,53,NULL,1,NULL,NULL
153,"South-Sudan","South Sudan",NULL,NULL,NULL,74.1353959042466,921.041052788,0.795478248704748,369.332707487,0.784687626294605,777.290016413,0.726869921469176,410.272413865,0.60148864273773,341.300736181,0.763472697374481,391.322653741,0.527809355532267,361.283076927,0.519808606630521,180.459406693,0.952570532638665,0,1,3752.302064095,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,155,81,107,159,160,173,160,158,110,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
154,"Spain","Spain",90.8120796108978,83.0358302366592,100,90.1914421454771,1052.175275981,0.748921373717032,599.358882755,0.618447426711117,66.560180858,0.983036330266182,45.105986646,0.977677008997187,23.205172329,0.989085113055848,121.123786084,0.887085925159784,54.518022807,0.953827517592586,155.569426715,0.959905366325114,1.787975452,0.999243731268087,2119.404709627,14787.75606,0.799645647741786,1.79,0.915367483296214,0.721,0.776061776061776,NULL,NULL,8,1,NULL,NULL,NULL,NULL,"Member body","Full member",21,23,1,48,103,165,19,12,22,36,31,92,98,28,15,30,NULL,1,NULL,NULL
155,"Sri-Lanka","Sri Lanka",64.7246531854383,49.5862127806327,62.5,87.4919788026222,883.292593061999,0.808880168338311,427.271099760999,0.74281547898809,476.420251653,0.8353115870621,208.002957515,0.809863264983222,34.264242277,0.981241358632042,191.360432655,0.793694040652693,36.428362364,0.979421223980254,277.421600185,0.923996722464222,2.235955071,0.999054247135067,2536.697494543,875.412178,0.326825877446895,-0.35,0.438752783964365,0.679,0.722007722007722,NULL,NULL,5,0.625,NULL,NULL,NULL,NULL,"Member body",NULL,70,88,59,80,76,131,121,108,49,87,13,170,101,117,99,39,NULL,59,NULL,NULL
156,"State-of-Palestine","State of Palestine",NULL,NULL,NULL,92.8582420956401,803.520157933,0.837201953447758,262.566423044,0.86184775128435,137.915823143,0.957317811474469,65.62283379,0.956540895070516,32.534977072,0.982467857032489,101.214752067,0.913558461881534,107.480562291999,0.878894785195784,123.185873963,0.969448482624211,0.08560650713,0.999963790596499,1634.12700981113,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19,51,61,45,33,42,20,68,56,56,NULL,NULL,NULL,NULL,NULL,NULL,NULL
157,"Sudan","Sudan",35.9288884606658,17.9868763640755,37.5,68.7613393626063,2651.6886428,0.181042584740854,383.638869971,0.774348545084203,754.20672074,0.73518977053128,437.247799708999,0.573699049901511,303.247151896,0.790462577308386,437.780283391,0.466035825693252,193.188455887,0.757633102551829,323.585164733,0.910392771451304,0.6706890417,0.999716315371944,5485.2537781687,352.5015707,0.174679799046998,-1.19,0.251670378619154,0.206,0.113256113256113,NULL,NULL,3,0.375,NULL,NULL,NULL,NULL,"Correspondent member",NULL,128,173,94,174,185,118,157,166,167,170,115,175,81,152,165,150,NULL,94,NULL,NULL
158,"Suriname","Suriname",NULL,46.5670116869732,NULL,86.7541363400911,1129.339635372,0.721525539538897,173.736130819,0.926045512653632,411.753356457,0.858619299052938,171.668606345,0.847294307891069,60.76763384,0.962443566792795,204.094243235999,0.776762216239441,215.524039231,0.726032157696901,55.835186504,0.989296071558248,0.3461217602,0.999853599184272,2423.0649535642,1855.77231,0.452498362915411,-0.17,0.478841870824053,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,93,NULL,89,118,39,107,100,81,94,121,7,71,88,86,NULL,NULL,NULL,NULL,NULL
